,stop_id,name,lat,lon
231,4793,Avenue Rd At Roselawn Ave South Side,43.7083899,-79.41047
232,4640,Steeles Ave East At Old Kennedy Rd,43.8254799,-79.29983
233,5776,Mortimer Ave At Donlands Ave,43.6874999,-79.34045
234,6760,Pharmacy Ave At Teesdale Place,43.69684,-79.28521
235,0913,Danforth Ave At Westlake Ave,43.6875899,-79.30487
236,15563,Wilson Station,43.7355399,-79.44901
237,1873,Davisville Ave At Forman Ave,43.70155,-79.3807399
238,5120,High Park Ave At Glenlake Ave,43.6572999,-79.4669499
239,5618,1330 Martin Grove Rd,43.71113,-79.57993
240,7199,Sheppard Ave East At Kingston Rd,43.79927,-79.14696
241,2817,Lawrence Ave East At Mildenhall Rd,43.7285099,-79.38636
242,10013,McCowan Rd At Denison St,43.8416499,-79.2781599
243,3948,Judson St At Horner Ave,43.6123499,-79.51501
244,1484,Rathburn Rd At Ivybridge Dr West Side,43.6485299,-79.58525
245,15641,King St West At University Ave West Side (St Andrew Station),43.64758,-79.3854299
246,3218,Yonge St At College St (College Station),43.6615099,-79.3832399
247,10292,Finchdeme Sq (East) At Torham Pl South Side,43.8194499,-79.23323
248,7616,Clayson Rd At Bartor Rd,43.7286099,-79.52582
249,14493,Bayview Ave At Nesbitt Dr,43.6941399,-79.36604
250,0870,Danforth Ave At Broadview Ave,43.67608,-79.3589599
251,13371,Queens Quay West At Bathurst St East Side Billy Bishop Airport,43.6360499,-79.39777
252,3816,Islington Ave At Milady Rd,43.75217,-79.56811
253,2763,Kennedy Rd At St Clair Ave East,43.71675,-79.26156
254,0408,Birchmount Rd At Exford Dr North Side,43.75492,-79.28771
255,2161,Dundas St West At Dufferin St,43.64968,-79.43131
256,14888,St Clair Ave West At Earlscourt Ave,43.67704,-79.4472399
257,4299,Kipling Ave At Bywood Dr,43.6570899,-79.54216
258,4400,Lansdowne Ave At Brandon Ave,43.66921,-79.44753
259,6661,Pharmacy Ave At Arnall Ave,43.80711,-79.332
260,2535,Finch Ave East At Midland Ave,43.80393,-79.2860799
261,3708,Horner Ave At Alderbrae Ave,43.6028299,-79.54064
262,2424,85 Emmett Ave,43.68726,-79.5063
263,8728,Weston Rd At Habitant Dr,43.7458499,-79.5408899
264,6746,Pharmacy Ave At Sheppard Ave East,43.7767199,-79.3180399
265,7978,Millwood Rd At McRae Dr South Side,43.70465,-79.3677
266,7390,Van Horne Ave At Houston Cres (West),43.7876299,-79.3476399
267,9664,100 Lesmill Rd,43.75889,-79.35721
268,4280,Kipling Ave At Jutland Rd North Side,43.6271699,-79.5290499
269,5134,Kipling Ave At Wingrove Hill South Side,43.6540199,-79.5407899
270,6384,Flemington Rd At Ranee Ave,43.72317,-79.44848
271,2729,Islington Ave At The Queensway,43.62381,-79.51502
272,4389,Kipling Ave At Widdicombe Hill Blvd,43.67887,-79.55149
273,5858,75 Norfinch Dr,43.75987,-79.52882
274,9054,Yonge St At St Edmunds Dr,43.72185,-79.40142
275,7410,Varna Dr At Rondale Blvd South Side,43.72122,-79.44106
276,6032,Rogers Rd At Nairn Ave,43.6840699,-79.45185
277,1827,Cummer Ave At Willowdale Ave,43.7887399,-79.40978
278,2234,Eglinton Ave East At Banff Rd,43.7099099,-79.38234
279,2724,Islington Ave At Kingsmoor Gate South Side,43.7403899,-79.5668999
280,0296,Bayview Ave At Foxwarren Dr,43.7704999,-79.3887899
281,8983,Yonge St At Elmhurst Ave,43.76336,-79.41148
282,5369,Lawrence Ave West At Englemount Ave East Side,43.7172799,-79.43806
283,15011,3701 Danforth Ave (Variety Village),43.6988399,-79.25868
284,8949,Yonge Blvd At Yonge St West Side,43.7343699,-79.40499
285,2218,The East Mall At Talgarth Rd,43.66265,-79.57068
286,6787,Prince Edward Dr South At Meadowvale Dr,43.64688,-79.50463
287,6349,Don Mills Rd At Sheppard Ave East North Side,43.7757899,-79.3471
288,2368,Eglinton Ave West At Keele St East Side,43.6903199,-79.47398
289,14702,Jane Station,43.6500399,-79.4836
290,7513,Arrow Rd At Bartor Rd North Side,43.73782,-79.52969
291,7527,Belfield Rd At Attwell Dr,43.69824,-79.5918099
292,5784,Mortimer Ave At Inwood Ave,43.6881499,-79.33746
293,11550,257 Finchdene Sq,43.8211099,-79.23489
294,0096,Bathurst St At Bloor St West,43.6650099,-79.4110599
295,0625,Brimley Rd At Eglinton Ave East North Side,43.7371599,-79.24825
296,7267,Sheppard Ave West At Beaman Rd East Side,43.76033,-79.4159599
297,1356,70 Milner Ave,43.78418,-79.2512799
298,2170,Dundas St West At Lansdowne Ave,43.6501099,-79.4401299
299,9254,Thirtieth St At Akron Rd,43.59992,-79.53165
300,0356,Bellamy Rd North At Farmbrook Rd,43.74957,-79.23219
301,5106,Gary Dr At Wendell Ave West Side,43.70985,-79.5245399
302,5871,Opposite 35 Oak St,43.7085999,-79.53004
303,11028,Finch Ave West At Islington Ave West Side,43.7462299,-79.56911
304,4989,Dixon Rd At Kelfield St,43.6900299,-79.57719
305,8524,Walsh Ave At Weston Rd,43.7171599,-79.5372199
306,2690,Guildwood Pkwy At Scarcliff Gardens,43.75132,-79.1829599
307,1922,Don Mills Rd At The Donway East (South) North Side,43.7326399,-79.3420299
308,2387,Eglinton Ave West At Northcliffe Blvd,43.6961599,-79.44778
309,8574,Warden Ave At Huntingwood Dr,43.7855799,-79.3111599
310,10575,900 The East Mall,43.6695699,-79.57244
311,4731,Wynford Dr At Wynford Heights Cres South Side,43.7262299,-79.3274899
312,0754,Carlton St At Jarvis St,43.6625099,-79.37657
313,9866,Sheffield St At Hafis Rd,43.70626,-79.47105
314,2760,Kennedy Rd At Merrian Rd,43.72738,-79.26576
315,10304,Dovercourt Rd At Hallam St,43.6670899,-79.4315599
316,2178,Dundas St West At Paulart Dr,43.63132,-79.5466299
317,10709,Atkinson Ave At Dundurn Cres (North) East Side,43.81813,-79.4465399
318,8279,Steeles Ave West At Hilda Ave,43.7958599,-79.4294
319,2629,Finch Ave West At Sentinel Rd,43.76119,-79.4997999
320,9066,Yonge St At Wilson Ave (York Mills Station),43.74429,-79.40696
